Symbol,Name,GP/A,GM,ROE,P/B,NM,MF,Qual,fPEG,gPEG,Grw%,Src,Zone,D.GP,D.PB,NMR,AG,6M,12M
GEHC,GE HealthCare Technologies Inc.,22.3%,40.0%,22.4%,3.22,3.2,3.4,★,1.30,5.67,10%,GE-2Y,🟡FAIR,4,8,12,+12%,-6.8%,-14.0%
TXN,Texas Instruments Incorporated,29.2%,57.0%,30.1%,11.07,2.8,3.4,★,1.32,N/A,19%,GE-2Y,🟡FAIR,5,4,9,-3%,+8.3%,+9.1%
ASML,ASML Holding N.V. - New York Re,34.1%,52.8%,50.5%,23.77,3.5,4.0,★★,1.39,2.49,23%,GE-2Y,🟡FAIR,6,2,8,+4%,+73.6%,+105.8%
CSX,CSX Corporation,10.7%,33.2%,22.5%,5.80,3.2,3.5,★★,1.42,N/A,14%,GE-2Y,🟡FAIR,1,7,8,+2%,+28.4%,+36.0%
PLTR,Palantir Technologies Inc.,41.4%,82.4%,26.0%,48.80,3.0,3.0,★,1.43,N/A,57%,GE-2Y,🟡FAIR,8,1,9,+40%,-7.2%,+97.3%
EA,Electronic Arts Inc.,47.9%,79.3%,10.0%,8.14,4.4,3.9,★★,1.52,6.04,14%,GE-2Y,🔴TEUER,9,6,15,-8%,+20.8%,+43.1%
TRI,Thomson Reuters Corp,31.6%,75.8%,12.4%,3.88,3.6,3.2,★★,1.53,7.96,13%,GE-2Y,🔴TEUER,5,8,13,-3%,-40.7%,-39.6%
REGN,"Regeneron Pharmaceuticals, Inc.",30.2%,85.4%,14.9%,2.55,3.9,3.5,★★,1.62,14.80,9%,GE-2Y,🔴TEUER,5,9,14,+7%,+39.8%,+4.8%
AMZN,"Amazon.com, Inc.",44.1%,50.3%,22.3%,5.61,4.2,3.9,★★,1.62,N/A,14%,GE-2Y,🔴TEUER,8,7,15,+31%,-9.9%,+10.4%
SNPS,"Synopsys, Inc.",11.3%,77.0%,5.5%,2.71,3.0,2.8,★,1.69,6.27,15%,GE-2Y,🔴TEUER,2,9,11,+269%,-28.4%,+0.6%
KLAC,KLA Corporation,46.1%,60.9%,100.7%,35.22,4.0,4.1,★★,1.70,6.17,18%,GE-2Y,🔴TEUER,9,1,10,+4%,+60.4%,+118.0%
PYPL,"PayPal Holdings, Inc.",19.3%,46.6%,25.7%,2.05,2.8,3.0,★,1.71,0.28,5%,GE-2Y,🔴TEUER,3,9,12,+2%,-33.1%,-33.6%
GILD,"Gilead Sciences, Inc.",39.3%,78.8%,40.7%,8.13,4.0,4.0,★★,1.78,0.96,9%,GE-2Y,🔴TEUER,7,6,13,+0%,+30.3%,+30.5%
PAYX,"Paychex, Inc.",24.3%,72.4%,40.9%,8.81,2.9,3.2,★,1.81,3.61,9%,GE-2Y,🔴TEUER,4,6,10,+60%,-27.7%,-36.2%
MAR,Marriott International,19.0%,19.9%,N/A,N/A,2.6,2.6,★,1.82,10.37,14%,GE-2Y,🔴TEUER,3,—,—,+5%,+24.6%,+28.5%
META,"Meta Platforms, Inc.",45.0%,82.0%,30.2%,7.64,4.2,4.1,★★,1.84,0.74,10%,GE-2Y,🔴TEUER,8,6,14,+33%,-14.1%,+10.1%
ZS,"Zscaler, Inc.",32.0%,76.9%,-3.6%,11.41,2.9,2.5,★,1.87,N/A,18%,GE-2Y,🔴TEUER,6,4,10,+36%,-44.7%,-19.9%
ROP,"Roper Technologies, Inc.",15.8%,69.2%,7.9%,1.89,2.8,2.5,★,1.89,N/A,8%,GE-2Y,🔴TEUER,2,10,12,+10%,-31.9%,-38.4%
SBUX,Starbucks Corporation,26.4%,22.8%,N/A,N/A,2.5,2.4,★,1.92,N/A,18%,GE-2Y,🔴TEUER,5,—,—,+2%,+21.8%,+2.3%
ADP,"Automatic Data Processing, Inc.",17.7%,46.0%,73.8%,13.65,2.1,2.8,★,1.94,1.82,9%,GE-2Y,🔴TEUER,3,3,6,-2%,-26.3%,-27.0%
CSCO,"Cisco Systems, Inc.",30.1%,64.9%,23.8%,6.49,4.0,3.9,★★,1.96,N/A,9%,GE-2Y,🔴TEUER,5,7,12,-2%,+17.8%,+29.4%
XEL,Xcel Energy Inc.,8.5%,47.2%,9.4%,2.17,2.9,2.7,★,1.99,4.67,9%,GE-2Y,🔴TEUER,1,9,10,+16%,+15.8%,+22.3%
GOOG,Alphabet Inc.,40.4%,59.7%,35.7%,8.97,4.7,4.3,★★★,2.02,0.95,11%,GE-2Y,🔴TEUER,7,5,12,+32%,+28.5%,+84.2%
MPWR,"Monolithic Power Systems, Inc.",36.7%,55.2%,19.2%,14.87,3.9,3.5,★★,2.02,6.77,21%,GE-2Y,🔴TEUER,7,3,10,+19%,+26.1%,+86.9%
KHC,The Kraft Heinz Company,10.2%,33.3%,-12.8%,0.68,2.8,2.2,★,2.03,N/A,5%,GE-1Y,🔴TEUER,1,10,11,-7%,-7.5%,-21.1%
AXON,"Axon Enterprise, Inc.",23.7%,59.7%,4.5%,13.13,2.8,2.2,★,2.07,N/A,24%,GE-2Y,🔴TEUER,4,3,7,+56%,-27.5%,+3.0%
CDNS,"Cadence Design Systems, Inc.",45.1%,86.4%,21.9%,14.60,4.0,3.8,★★,2.12,7.80,15%,GE-2Y,🔴TEUER,8,3,11,+13%,-18.7%,+25.7%
SHOP,Shopify Inc.,36.6%,48.1%,9.8%,12.50,3.6,3.1,★★,2.12,N/A,27%,GE-2Y,🔴TEUER,7,4,11,+9%,-10.0%,+39.2%
MDLZ,"Mondelez International, Inc.",15.3%,28.4%,9.3%,2.84,2.8,2.4,★,2.24,N/A,8%,GE-2Y,🔴TEUER,2,9,11,+4%,-6.9%,-13.4%
MNST,Monster Beverage Corporation,46.4%,55.8%,26.8%,9.13,4.4,4.0,★★,2.25,2.35,13%,GE-2Y,🔴TEUER,9,5,14,+29%,+21.7%,+38.2%
AAPL,Apple Inc.,54.3%,46.9%,152.0%,43.67,3.0,3.0,★,2.43,8.46,12%,GE-2Y,🔴TEUER,10,1,11,-2%,+12.0%,+15.6%
CRWD,"CrowdStrike Holdings, Inc.",32.4%,74.7%,-4.1%,24.85,3.3,2.7,★,2.45,N/A,29%,GE-2Y,🔴TEUER,6,2,8,+27%,+2.5%,+40.6%
VRSK,"Verisk Analytics, Inc.",34.7%,69.9%,437.9%,91.29,2.2,2.0,—,2.48,N/A,10%,GE-2Y,🔴TEUER,6,1,7,+45%,-23.8%,-31.1%
ROST,"Ross Stores, Inc.",39.4%,27.8%,36.7%,11.11,3.9,3.8,★★,2.51,4.87,11%,GE-2Y,🔴TEUER,7,4,11,+4%,+44.6%,+64.6%
HON,Honeywell International Inc.,19.5%,38.1%,26.1%,11.15,2.6,2.7,★,2.52,33.16,8%,GE-2Y,🔴TEUER,3,4,7,+22%,+22.2%,+23.7%
VRTX,Vertex Pharmaceuticals Incorpor,40.4%,86.2%,22.5%,6.75,3.6,3.2,★★,2.53,5.43,9%,GE-2Y,🔴TEUER,7,6,13,+14%,+25.1%,-0.8%
FTNT,"Fortinet, Inc.",52.7%,80.5%,135.7%,50.26,2.6,2.1,★,2.66,1.18,10%,GE-2Y,🔴TEUER,9,1,10,+6%,+4.9%,-12.8%
CCEP,Coca-Cola Europacific Partners ,23.2%,35.3%,22.9%,5.08,3.6,3.0,★★,2.66,1.60,7%,GE-2Y,🔴TEUER,4,8,12,+6%,+13.6%,+29.7%
AEP,American Electric Power Company,11.7%,61.0%,12.5%,2.31,3.5,3.0,★★,2.69,1.26,7%,GE-2Y,🔴TEUER,2,9,11,+11%,+24.6%,+27.9%
ORLY,"O'Reilly Automotive, Inc.",55.5%,51.6%,N/A,N/A,3.7,2.7,★★,2.76,6.04,10%,GE-2Y,🔴TEUER,10,—,—,+11%,-10.7%,+6.4%
ODFL,"Old Dominion Freight Line, Inc.",33.2%,33.0%,23.9%,9.45,3.8,3.4,★★,2.81,N/A,12%,GE-2Y,🔴TEUER,6,5,11,-0%,+32.2%,+10.5%
LIN,Linde plc,19.1%,48.8%,17.8%,5.84,2.7,2.5,★,2.83,1.78,9%,GE-2Y,🔴TEUER,3,7,10,+8%,+2.1%,+5.6%
PEP,"Pepsico, Inc.",47.4%,54.1%,42.8%,10.89,3.5,3.4,★★,3.01,N/A,6%,GE-2Y,🔴TEUER,9,5,14,+8%,+15.7%,+8.2%
FER,Ferrovial SE,31.0%,88.3%,14.3%,7.03,4.2,3.6,★★,3.04,0.70,15%,GE-2Y,🔴TEUER,5,6,11,-5%,+21.2%,+57.6%
IDXX,"IDEXX Laboratories, Inc.",79.4%,61.8%,66.2%,29.98,3.7,3.6,★★,3.05,2.89,12%,GE-2Y,🔴TEUER,10,2,12,+2%,-7.8%,+38.5%
FAST,Fastenal Company,73.1%,45.0%,33.3%,13.52,3.8,3.6,★★,3.09,8.52,11%,GE-2Y,🔴TEUER,10,3,13,+8%,-2.0%,+18.9%
ISRG,"Intuitive Surgical, Inc.",32.5%,66.0%,16.7%,9.68,3.5,3.0,★★,3.22,2.12,13%,GE-2Y,🔴TEUER,6,5,11,+9%,+3.9%,+0.7%
WMT,Walmart Inc.,64.9%,24.9%,21.8%,10.03,4.0,3.6,★★,3.27,3.68,12%,GE-2Y,🔴TEUER,10,5,15,+3%,+22.8%,+44.1%
CTAS,Cintas Corporation,52.7%,50.0%,43.4%,17.65,3.3,3.2,★,3.34,3.13,11%,GE-2Y,🔴TEUER,9,2,11,+7%,-2.2%,-1.1%
DDOG,"Datadog, Inc.",41.2%,80.0%,3.3%,11.56,3.8,2.8,★★,3.41,N/A,14%,GE-2Y,🔴TEUER,8,4,12,+15%,-12.9%,+20.4%
EXC,Exelon Corporation,8.9%,42.9%,9.9%,1.74,2.9,2.4,★,3.41,2.13,5%,GE-2Y,🔴TEUER,1,10,11,+8%,+15.9%,+16.2%
BKR,Baker Hughes Company,16.0%,23.6%,14.6%,3.13,3.5,3.0,★★,3.55,N/A,6%,GE-2Y,🔴TEUER,2,9,11,+7%,+32.7%,+48.2%
ARM,Arm Holdings plc,43.5%,97.0%,11.3%,16.61,3.5,3.0,★★,3.91,12.52,15%,GE-2Y,🔴TEUER,8,2,10,+13%,-13.4%,+4.8%
COST,Costco Wholesale Corporation,45.8%,12.8%,29.7%,13.86,3.5,3.2,★★,4.09,4.67,11%,GE-2Y,🔴TEUER,9,3,12,+10%,+2.5%,+7.7%
PANW,"Palo Alto Networks, Inc.",28.7%,73.4%,16.3%,12.28,2.5,2.3,★,4.53,N/A,9%,GE-2Y,🔴TEUER,5,4,9,+18%,-16.9%,-5.6%
PDD,PDD Holdings Inc.,47.5%,60.9%,30.5%,2.61,4.0,3.6,★★,4.56,0.07,2%,GE-2Y,🔴TEUER,9,9,18,+45%,-15.9%,-8.3%
TSLA,"Tesla, Inc.",12.4%,18.0%,4.9%,18.25,3.1,2.5,★,4.72,N/A,30%,GE-2Y,🔴TEUER,2,2,4,+13%,+15.2%,+79.9%
AMGN,Amgen Inc.,27.3%,67.2%,106.1%,23.45,2.7,2.9,★,5.08,4.75,3%,GE-2Y,🔴TEUER,5,2,7,-1%,+36.5%,+18.7%
INSM,Insmed Incorporated,21.4%,79.7%,-249.3%,41.84,2.8,2.3,★,6.01,N/A,60%,GE-2Y,🔴TEUER,3,1,4,+12%,-2.0%,+97.5%
CPRT,"Copart, Inc.",20.8%,45.2%,17.1%,3.58,3.2,2.7,★,7.76,1.83,3%,GE-2Y,🔴TEUER,3,8,11,+20%,-24.3%,-31.1%
QCOM,QUALCOMM Incorporated,49.0%,55.4%,21.5%,6.31,3.6,3.2,★★,24.61,N/A,0%,GE-1Y,🔴TEUER,9,7,16,-9%,-13.6%,-10.5%
WBD,"Warner Bros. Discovery, Inc. - ",16.4%,44.0%,2.1%,1.92,3.8,3.0,★★,N/A,N/A,N/A,N/A,,3,10,13,-4%,+127.1%,+162.9%
